t,has_det,top_conf,elapsed_s,state,trigger_event
103.869,1,0.910,1.716,DETECTING,0
103.909,1,0.925,1.756,DETECTING,0
103.949,1,0.930,1.796,DETECTING,0
103.988,1,0.939,1.836,DETECTING,0
104.029,1,0.939,1.877,DETECTING,0
104.069,1,0.936,1.916,DETECTING,0
104.109,1,0.933,1.957,DETECTING,0
104.149,1,0.931,1.997,DETECTING,0
104.190,1,0.938,2.038,TRIGGERED,1
104.235,1,0.941,0.000,DETECTING,0
104.274,1,0.926,0.039,DETECTING,0
104.314,1,0.915,0.079,DETECTING,0
104.354,1,0.914,0.119,DETECTING,0
104.395,1,0.910,0.160,DETECTING,0
104.435,1,0.919,0.200,DETECTING,0
104.475,1,0.928,0.240,DETECTING,0
104.515,1,0.932,0.281,DETECTING,0
104.555,1,0.924,0.320,DETECTING,0
104.595,1,0.922,0.360,DETECTING,0
104.637,1,0.926,0.402,DETECTING,0
104.678,1,0.925,0.443,DETECTING,0
104.718,1,0.913,0.484,DETECTING,0
104.760,1,0.926,0.525,DETECTING,0
104.799,1,0.917,0.565,DETECTING,0
104.840,1,0.927,0.605,DETECTING,0
104.880,1,0.922,0.646,DETECTING,0
104.920,1,0.917,0.685,DETECTING,0
104.965,1,0.927,0.731,DETECTING,0
105.006,1,0.941,0.771,DETECTING,0
105.046,1,0.917,0.811,DETECTING,0
105.086,1,0.925,0.851,DETECTING,0
105.126,1,0.931,0.891,DETECTING,0
105.166,1,0.907,0.931,DETECTING,0
105.206,1,0.806,0.972,DETECTING,0
105.244,0,0.000,0.000,COOLDOWN,0
105.281,0,0.000,0.000,COOLDOWN,0
105.318,0,0.000,0.000,COOLDOWN,0
105.355,0,0.000,0.000,COOLDOWN,0
105.391,0,0.000,0.000,COOLDOWN,0
105.428,0,0.000,0.000,COOLDOWN,0
105.465,0,0.000,0.000,COOLDOWN,0
105.501,0,0.000,0.000,COOLDOWN,0
105.538,0,0.000,0.000,COOLDOWN,0
105.577,1,0.864,0.000,DETECTING,0
105.617,1,0.906,0.040,DETECTING,0
105.657,1,0.891,0.080,DETECTING,0
105.696,1,0.900,0.119,DETECTING,0
105.735,1,0.880,0.159,DETECTING,0
105.775,1,0.822,0.199,DETECTING,0
105.815,1,0.814,0.238,DETECTING,0
105.854,1,0.810,0.277,DETECTING,0
105.895,1,0.816,0.318,DETECTING,0
105.936,1,0.849,0.359,DETECTING,0
105.979,1,0.863,0.402,DETECTING,0
106.019,1,0.829,0.443,DETECTING,0
106.059,1,0.835,0.482,DETECTING,0
106.100,1,0.840,0.524,DETECTING,0
106.144,1,0.878,0.568,DETECTING,0
106.183,1,0.923,0.607,DETECTING,0
106.222,1,0.899,0.646,DETECTING,0
106.262,1,0.915,0.685,DETECTING,0
106.302,1,0.909,0.725,DETECTING,0
106.342,1,0.877,0.765,DETECTING,0
106.381,1,0.906,0.805,DETECTING,0
106.421,1,0.884,0.845,DETECTING,0
106.463,1,0.883,0.886,DETECTING,0
106.504,1,0.893,0.928,DETECTING,0
106.543,1,0.909,0.967,DETECTING,0
106.583,1,0.900,1.007,DETECTING,0
106.624,1,0.895,1.047,DETECTING,0
106.664,1,0.880,1.087,DETECTING,0
106.703,1,0.897,1.127,DETECTING,0
106.743,1,0.902,1.166,DETECTING,0
106.782,1,0.908,1.205,DETECTING,0
106.821,1,0.928,1.244,DETECTING,0
106.860,1,0.934,1.283,DETECTING,0
106.899,1,0.905,1.322,DETECTING,0
106.938,1,0.918,1.361,DETECTING,0
106.976,1,0.938,1.400,DETECTING,0
107.016,1,0.932,1.439,DETECTING,0
107.054,1,0.926,1.478,DETECTING,0
107.093,1,0.936,1.517,DETECTING,0
107.132,1,0.944,1.555,DETECTING,0
107.171,1,0.933,1.594,DETECTING,0
107.210,1,0.930,1.633,DETECTING,0
107.248,1,0.915,1.672,DETECTING,0
107.288,1,0.924,1.712,DETECTING,0
107.332,1,0.894,1.755,DETECTING,0
107.371,1,0.897,1.795,DETECTING,0
107.410,1,0.921,1.834,DETECTING,0
107.450,1,0.924,1.873,DETECTING,0
107.489,1,0.925,1.913,DETECTING,0
107.529,1,0.932,1.952,DETECTING,0
107.568,1,0.923,1.992,DETECTING,0
107.609,1,0.888,2.032,COOLDOWN,0
107.648,1,0.905,2.072,COOLDOWN,0
107.688,1,0.761,2.111,COOLDOWN,0
107.728,1,0.861,2.151,COOLDOWN,0
107.768,1,0.856,2.191,COOLDOWN,0
107.808,1,0.906,2.231,COOLDOWN,0
107.847,1,0.894,2.271,COOLDOWN,0
107.887,1,0.973,2.310,COOLDOWN,0
107.927,1,0.991,2.350,COOLDOWN,0
107.966,1,0.979,2.389,COOLDOWN,0
108.005,1,0.984,2.429,COOLDOWN,0
108.045,1,0.989,2.468,COOLDOWN,0
108.084,1,0.995,2.508,COOLDOWN,0
108.124,1,0.985,2.547,COOLDOWN,0
108.163,1,0.968,2.586,COOLDOWN,0
108.203,1,0.976,2.627,COOLDOWN,0
108.243,1,0.910,2.666,COOLDOWN,0
108.283,1,0.941,2.706,COOLDOWN,0
108.322,1,0.944,2.746,COOLDOWN,0
108.363,1,0.950,2.786,COOLDOWN,0
108.402,1,0.930,2.826,COOLDOWN,0
108.442,1,0.970,2.865,COOLDOWN,0
108.481,1,0.979,2.905,COOLDOWN,0
108.526,1,0.976,2.949,COOLDOWN,0
108.565,1,0.978,2.989,COOLDOWN,0
108.605,1,0.944,3.028,COOLDOWN,0
108.645,1,0.982,3.068,COOLDOWN,0
108.684,1,0.955,3.107,COOLDOWN,0
108.724,1,0.981,3.147,COOLDOWN,0
108.764,1,0.936,3.187,COOLDOWN,0
108.803,1,0.962,3.227,COOLDOWN,0
108.843,1,0.948,3.266,COOLDOWN,0
108.882,1,0.938,3.306,COOLDOWN,0
108.922,1,0.954,3.345,COOLDOWN,0
108.964,1,0.975,3.388,COOLDOWN,0
109.004,1,0.979,3.427,COOLDOWN,0
109.044,1,0.988,3.467,COOLDOWN,0
109.083,1,0.969,3.506,COOLDOWN,0
109.123,1,0.955,3.546,COOLDOWN,0
109.162,1,0.946,3.585,COOLDOWN,0
109.202,1,0.975,3.625,TRIGGERED,1
109.246,1,0.965,0.000,DETECTING,0
109.287,1,0.978,0.040,DETECTING,0
109.326,1,0.957,0.080,DETECTING,0
109.366,1,0.908,0.120,DETECTING,0
109.406,1,0.752,0.159,DETECTING,0
109.445,0,0.000,0.000,COOLDOWN,0
109.484,1,0.663,0.000,DETECTING,0
109.523,1,0.920,0.040,DETECTING,0
109.563,1,0.909,0.079,DETECTING,0
109.603,1,0.928,0.119,DETECTING,0
109.642,1,0.764,0.159,DETECTING,0
109.682,1,0.811,0.198,DETECTING,0
109.726,1,0.577,0.242,DETECTING,0
109.766,1,0.597,0.282,DETECTING,0
109.802,0,0.000,0.000,COOLDOWN,0
109.838,0,0.000,0.000,COOLDOWN,0
109.876,1,0.497,0.000,DETECTING,0
109.916,1,0.620,0.040,DETECTING,0
109.956,1,0.674,0.079,DETECTING,0
109.994,1,0.650,0.118,DETECTING,0
110.033,1,0.753,0.157,DETECTING,0
110.070,0,0.000,0.000,COOLDOWN,0
110.109,1,0.676,0.000,DETECTING,0
110.149,1,0.836,0.040,DETECTING,0
110.188,1,0.851,0.079,DETECTING,0
110.228,1,0.893,0.119,DETECTING,0
110.267,1,0.931,0.158,DETECTING,0
110.306,1,0.962,0.197,DETECTING,0
110.345,1,0.925,0.236,DETECTING,0
110.384,1,0.974,0.276,DETECTING,0
110.424,1,0.987,0.315,DETECTING,0
110.463,1,0.971,0.354,DETECTING,0
110.502,1,0.777,0.393,DETECTING,0
110.541,1,0.902,0.432,DETECTING,0
110.580,1,0.534,0.471,DETECTING,0
110.619,1,0.837,0.510,DETECTING,0
110.658,1,0.992,0.549,DETECTING,0
110.697,1,0.943,0.588,DETECTING,0
110.739,1,0.802,0.630,DETECTING,0
110.778,1,0.967,0.669,DETECTING,0
110.816,1,0.988,0.707,DETECTING,0
110.855,1,0.970,0.746,DETECTING,0
110.900,1,0.990,0.791,DETECTING,0
110.940,1,0.959,0.831,DETECTING,0
110.981,1,0.937,0.872,DETECTING,0
111.022,1,0.946,0.913,DETECTING,0
111.062,1,0.918,0.953,DETECTING,0
111.100,1,0.454,0.991,DETECTING,0
111.137,0,0.000,0.000,COOLDOWN,0
111.173,0,0.000,0.000,COOLDOWN,0
111.209,0,0.000,0.000,COOLDOWN,0
111.247,1,0.475,0.000,DETECTING,0
111.284,0,0.000,0.000,COOLDOWN,0
111.320,0,0.000,0.000,COOLDOWN,0
111.356,0,0.000,0.000,COOLDOWN,0
111.393,0,0.000,0.000,COOLDOWN,0
111.429,0,0.000,0.000,COOLDOWN,0
111.468,1,0.602,0.000,DETECTING,0
111.504,0,0.000,0.000,COOLDOWN,0
111.541,0,0.000,0.000,COOLDOWN,0
111.577,0,0.000,0.000,COOLDOWN,0
111.615,1,0.479,0.000,DETECTING,0
111.654,1,0.621,0.039,DETECTING,0
111.693,1,0.867,0.078,DETECTING,0
111.733,1,0.816,0.118,DETECTING,0
111.772,1,0.700,0.157,DETECTING,0
111.813,1,0.558,0.198,DETECTING,0
111.852,1,0.679,0.237,DETECTING,0
111.891,1,0.707,0.276,DETECTING,0
111.931,1,0.799,0.315,DETECTING,0
111.970,1,0.677,0.354,DETECTING,0
112.011,1,0.508,0.396,DETECTING,0
112.055,1,0.591,0.440,DETECTING,0
112.094,1,0.660,0.478,DETECTING,0
112.133,1,0.829,0.518,DETECTING,0
112.172,1,0.900,0.556,DETECTING,0
112.211,1,0.858,0.596,DETECTING,0
112.250,1,0.762,0.635,DETECTING,0
112.290,1,0.756,0.674,DETECTING,0
112.329,1,0.767,0.714,DETECTING,0
112.368,1,0.725,0.753,DETECTING,0
112.407,1,0.827,0.792,DETECTING,0
112.446,1,0.735,0.831,DETECTING,0
112.486,1,0.813,0.870,DETECTING,0
112.526,1,0.741,0.911,DETECTING,0
112.566,1,0.780,0.950,DETECTING,0
112.606,1,0.771,0.991,DETECTING,0
112.645,1,0.804,1.030,DETECTING,0
112.685,1,0.835,1.070,DETECTING,0
112.724,1,0.867,1.109,DETECTING,0
112.763,1,0.862,1.148,DETECTING,0
112.802,1,0.862,1.187,DETECTING,0
112.841,1,0.891,1.226,DETECTING,0
112.881,1,0.841,1.265,DETECTING,0
112.920,1,0.853,1.304,DETECTING,0
112.958,1,0.868,1.343,DETECTING,0
112.997,1,0.820,1.382,DETECTING,0
113.036,1,0.886,1.421,DETECTING,0
113.076,1,0.884,1.460,DETECTING,0
113.114,1,0.877,1.499,DETECTING,0
113.153,1,0.869,1.538,DETECTING,0
113.192,1,0.872,1.577,DETECTING,0
113.237,1,0.911,1.621,DETECTING,0
113.276,1,0.891,1.661,DETECTING,0
113.316,1,0.878,1.701,DETECTING,0
113.355,1,0.877,1.740,DETECTING,0
113.394,1,0.877,1.779,DETECTING,0
113.433,1,0.899,1.818,DETECTING,0
113.472,1,0.874,1.857,DETECTING,0
113.514,1,0.866,1.899,DETECTING,0
113.553,1,0.865,1.938,DETECTING,0
113.592,1,0.858,1.977,DETECTING,0
113.631,1,0.837,2.016,COOLDOWN,0
113.670,1,0.799,2.054,COOLDOWN,0
113.709,1,0.798,2.094,COOLDOWN,0
113.748,1,0.776,2.133,COOLDOWN,0
113.789,1,0.783,2.174,COOLDOWN,0
113.829,1,0.746,2.213,COOLDOWN,0
113.868,1,0.708,2.252,COOLDOWN,0
113.907,1,0.785,2.292,COOLDOWN,0
113.947,1,0.770,2.332,COOLDOWN,0
113.986,1,0.741,2.371,COOLDOWN,0
114.026,1,0.748,2.411,COOLDOWN,0
114.067,1,0.789,2.451,COOLDOWN,0
114.106,1,0.822,2.491,COOLDOWN,0
114.145,1,0.835,2.530,COOLDOWN,0
114.184,1,0.839,2.569,COOLDOWN,0
114.224,1,0.876,2.608,TRIGGERED,1
114.269,1,0.881,0.000,DETECTING,0
114.308,1,0.837,0.040,DETECTING,0
114.348,1,0.893,0.079,DETECTING,0
114.387,1,0.849,0.119,DETECTING,0
114.431,1,0.841,0.163,DETECTING,0
114.470,1,0.822,0.201,DETECTING,0
114.509,1,0.883,0.241,DETECTING,0
114.549,1,0.832,0.280,DETECTING,0
114.589,1,0.863,0.320,DETECTING,0
114.629,1,0.880,0.360,DETECTING,0
114.668,1,0.838,0.399,DETECTING,0
114.707,1,0.873,0.438,DETECTING,0
114.746,1,0.868,0.477,DETECTING,0
114.785,1,0.859,0.516,DETECTING,0
114.825,1,0.849,0.556,DETECTING,0
114.864,1,0.814,0.595,DETECTING,0
114.903,1,0.827,0.634,DETECTING,0
114.943,1,0.872,0.674,DETECTING,0
114.982,1,0.847,0.713,DETECTING,0
115.021,1,0.835,0.752,DETECTING,0
115.062,1,0.845,0.793,DETECTING,0
115.101,1,0.850,0.832,DETECTING,0
115.140,1,0.772,0.871,DETECTING,0
115.179,1,0.688,0.910,DETECTING,0
115.218,1,0.506,0.949,DETECTING,0
115.254,0,0.000,0.000,COOLDOWN,0
115.293,1,0.535,0.000,DETECTING,0
115.331,1,0.663,0.039,DETECTING,0
115.370,1,0.696,0.078,DETECTING,0
115.409,1,0.629,0.116,DETECTING,0
115.448,1,0.621,0.155,DETECTING,0
115.487,1,0.481,0.194,DETECTING,0
115.526,1,0.467,0.234,DETECTING,0
115.565,1,0.693,0.273,DETECTING,0
115.610,1,0.666,0.317,DETECTING,0
115.648,1,0.626,0.356,DETECTING,0
115.685,0,0.000,0.000,COOLDOWN,0
115.721,0,0.000,0.000,COOLDOWN,0
115.759,0,0.000,0.000,COOLDOWN,0
115.798,1,0.512,0.000,DETECTING,0
115.834,0,0.000,0.000,COOLDOWN,0
115.872,1,0.682,0.000,DETECTING,0
115.910,0,0.000,0.000,COOLDOWN,0
115.947,0,0.000,0.000,COOLDOWN,0
115.986,0,0.000,0.000,COOLDOWN,0
116.022,0,0.000,0.000,COOLDOWN,0
116.057,0,0.000,0.000,COOLDOWN,0
116.093,0,0.000,0.000,COOLDOWN,0
116.130,0,0.000,0.000,COOLDOWN,0
116.166,0,0.000,0.000,COOLDOWN,0
116.202,0,0.000,0.000,COOLDOWN,0
116.238,0,0.000,0.000,COOLDOWN,0
116.277,1,0.742,0.000,DETECTING,0
116.317,1,0.709,0.040,DETECTING,0
116.356,1,0.720,0.079,DETECTING,0
116.396,1,0.673,0.119,DETECTING,0
116.435,1,0.814,0.158,DETECTING,0
116.475,1,0.766,0.198,DETECTING,0
116.514,1,0.751,0.237,DETECTING,0
116.553,1,0.708,0.277,DETECTING,0
116.593,1,0.779,0.316,DETECTING,0
116.632,1,0.874,0.355,DETECTING,0
116.670,1,0.854,0.393,DETECTING,0
116.710,1,0.834,0.433,DETECTING,0
116.755,1,0.802,0.478,DETECTING,0
116.794,1,0.664,0.517,DETECTING,0
116.833,1,0.537,0.556,DETECTING,0
116.873,1,0.622,0.596,DETECTING,0
116.910,0,0.000,0.000,COOLDOWN,0
116.946,0,0.000,0.000,COOLDOWN,0
116.985,1,0.563,0.000,DETECTING,0
117.024,1,0.566,0.040,DETECTING,0
117.063,1,0.622,0.079,DETECTING,0
117.102,1,0.484,0.117,DETECTING,0
117.141,1,0.584,0.157,DETECTING,0
117.180,0,0.000,0.000,COOLDOWN,0
117.219,1,0.632,0.000,DETECTING,0
117.258,1,0.663,0.039,DETECTING,0
117.295,0,0.000,0.000,COOLDOWN,0
117.331,0,0.000,0.000,COOLDOWN,0
117.367,0,0.000,0.000,COOLDOWN,0
117.405,1,0.571,0.000,DETECTING,0
117.442,0,0.000,0.000,COOLDOWN,0
117.478,0,0.000,0.000,COOLDOWN,0
117.514,0,0.000,0.000,COOLDOWN,0
117.552,1,0.567,0.000,DETECTING,0
117.591,1,0.564,0.039,DETECTING,0
117.630,1,0.895,0.078,DETECTING,0
117.669,1,0.927,0.117,DETECTING,0
117.710,1,0.914,0.158,DETECTING,0
117.751,1,0.846,0.199,DETECTING,0
117.790,1,0.702,0.238,DETECTING,0
117.826,0,0.000,0.000,COOLDOWN,0
117.864,0,0.000,0.000,COOLDOWN,0
117.905,0,0.000,0.000,COOLDOWN,0
117.941,0,0.000,0.000,COOLDOWN,0
117.977,0,0.000,0.000,COOLDOWN,0
118.013,0,0.000,0.000,COOLDOWN,0
118.049,0,0.000,0.000,COOLDOWN,0
118.087,1,0.508,0.000,DETECTING,0
118.126,1,0.594,0.039,DETECTING,0
118.162,0,0.000,0.000,COOLDOWN,0
118.200,1,0.518,0.000,DETECTING,0
118.241,1,0.647,0.041,DETECTING,0
118.281,1,0.524,0.081,DETECTING,0
118.321,1,0.542,0.121,DETECTING,0
118.358,0,0.000,0.000,COOLDOWN,0
118.394,0,0.000,0.000,COOLDOWN,0
118.430,0,0.000,0.000,COOLDOWN,0
118.468,1,0.461,0.000,DETECTING,0
118.507,1,0.461,0.039,DETECTING,0
118.544,0,0.000,0.000,COOLDOWN,0
118.580,0,0.000,0.000,COOLDOWN,0
118.618,1,0.464,0.000,DETECTING,0
118.655,0,0.000,0.000,COOLDOWN,0
118.691,0,0.000,0.000,COOLDOWN,0
118.727,0,0.000,0.000,COOLDOWN,0
118.763,0,0.000,0.000,COOLDOWN,0
118.799,0,0.000,0.000,COOLDOWN,0
118.835,0,0.000,0.000,COOLDOWN,0
118.873,1,0.613,0.000,DETECTING,0
118.912,1,0.546,0.039,DETECTING,0
118.952,1,0.569,0.079,DETECTING,0
118.991,1,0.561,0.118,DETECTING,0
119.035,1,0.663,0.162,DETECTING,0
119.072,0,0.000,0.000,COOLDOWN,0
119.110,1,0.577,0.000,DETECTING,0
119.147,0,0.000,0.000,COOLDOWN,0
119.182,0,0.000,0.000,COOLDOWN,0
119.218,0,0.000,0.000,COOLDOWN,0
119.254,0,0.000,0.000,IDLE,0
119.291,0,0.000,0.000,IDLE,0
119.329,0,0.000,0.000,IDLE,0
119.367,1,0.451,0.000,DETECTING,0
119.406,1,0.606,0.039,DETECTING,0
119.446,1,0.452,0.078,DETECTING,0
119.486,1,0.580,0.118,DETECTING,0
119.525,1,0.468,0.158,DETECTING,0
119.562,0,0.000,0.000,IDLE,0
119.601,1,0.476,0.000,DETECTING,0
119.638,0,0.000,0.000,IDLE,0
119.674,0,0.000,0.000,IDLE,0
119.710,0,0.000,0.000,IDLE,0
119.748,1,0.533,0.000,DETECTING,0
119.787,1,0.622,0.039,DETECTING,0
119.826,1,0.585,0.077,DETECTING,0
119.862,0,0.000,0.000,IDLE,0
119.898,0,0.000,0.000,IDLE,0
119.936,1,0.595,0.000,DETECTING,0
119.975,1,0.526,0.039,DETECTING,0
120.012,0,0.000,0.000,IDLE,0
120.050,1,0.477,0.000,DETECTING,0
120.087,0,0.000,0.000,IDLE,0
120.123,0,0.000,0.000,IDLE,0
120.165,0,0.000,0.000,IDLE,0
120.201,0,0.000,0.000,IDLE,0
120.237,0,0.000,0.000,IDLE,0
120.273,0,0.000,0.000,IDLE,0
120.309,0,0.000,0.000,IDLE,0
120.346,0,0.000,0.000,IDLE,0
120.381,0,0.000,0.000,IDLE,0
120.417,0,0.000,0.000,IDLE,0
120.456,1,0.589,0.000,DETECTING,0
120.493,0,0.000,0.000,IDLE,0
120.532,1,0.504,0.000,DETECTING,0
120.572,1,0.626,0.039,DETECTING,0
120.611,1,0.586,0.079,DETECTING,0
120.651,1,0.663,0.118,DETECTING,0
120.690,1,0.746,0.158,DETECTING,0
120.730,1,0.761,0.197,DETECTING,0
120.770,1,0.933,0.238,DETECTING,0
120.811,1,0.932,0.278,DETECTING,0
120.850,1,0.936,0.318,DETECTING,0
120.892,1,0.955,0.360,DETECTING,0
120.933,1,0.951,0.401,DETECTING,0
120.975,1,0.954,0.443,DETECTING,0
121.016,1,0.949,0.484,DETECTING,0
121.056,1,0.829,0.524,DETECTING,0
121.096,1,0.945,0.564,DETECTING,0
121.137,1,0.921,0.605,DETECTING,0
121.177,1,0.871,0.645,DETECTING,0
121.218,1,0.820,0.686,DETECTING,0
121.258,1,0.928,0.725,DETECTING,0
121.298,1,0.930,0.765,DETECTING,0
121.342,1,0.920,0.810,DETECTING,0
121.382,1,0.869,0.850,DETECTING,0
121.422,1,0.921,0.890,DETECTING,0
121.462,1,0.902,0.930,DETECTING,0
121.501,1,0.878,0.969,DETECTING,0
121.541,1,0.868,1.008,DETECTING,0
121.580,1,0.901,1.048,DETECTING,0
121.620,1,0.946,1.088,DETECTING,0
121.660,1,0.938,1.128,DETECTING,0
121.700,1,0.957,1.168,DETECTING,0
121.741,1,0.927,1.209,DETECTING,0
121.781,1,0.925,1.248,DETECTING,0
121.820,1,0.936,1.288,DETECTING,0
121.860,1,0.924,1.327,DETECTING,0
121.902,1,0.922,1.369,DETECTING,0
121.942,1,0.962,1.409,DETECTING,0
121.981,1,0.957,1.448,DETECTING,0
122.021,1,0.959,1.488,DETECTING,0
122.060,1,0.964,1.528,DETECTING,0
122.101,1,0.952,1.569,DETECTING,0
122.140,1,0.944,1.608,DETECTING,0
122.179,1,0.927,1.647,DETECTING,0
122.220,1,0.933,1.687,DETECTING,0
122.259,1,0.948,1.727,DETECTING,0
122.299,1,0.855,1.766,DETECTING,0
122.338,1,0.896,1.806,DETECTING,0
122.378,1,0.844,1.846,DETECTING,0
122.418,1,0.651,1.886,DETECTING,0
122.458,1,0.687,1.925,DETECTING,0
122.497,1,0.789,1.964,DETECTING,0
122.541,1,0.905,2.009,TRIGGERED,1
122.585,1,0.874,0.000,DETECTING,0
122.624,1,0.908,0.039,DETECTING,0
122.664,1,0.588,0.079,DETECTING,0
122.704,1,0.692,0.118,DETECTING,0
122.744,1,0.539,0.158,DETECTING,0
122.783,1,0.758,0.198,DETECTING,0
122.822,1,0.714,0.237,DETECTING,0
122.861,1,0.682,0.276,DETECTING,0
122.901,1,0.746,0.315,DETECTING,0
122.941,1,0.826,0.355,DETECTING,0
122.982,1,0.856,0.397,DETECTING,0
123.021,1,0.874,0.436,DETECTING,0
123.062,1,0.764,0.476,DETECTING,0
123.102,1,0.727,0.516,DETECTING,0
123.142,1,0.908,0.556,DETECTING,0
123.182,1,0.918,0.596,DETECTING,0
123.223,1,0.910,0.637,DETECTING,0
123.262,1,0.920,0.676,DETECTING,0
123.301,1,0.855,0.716,DETECTING,0
123.340,1,0.895,0.755,DETECTING,0
123.379,1,0.911,0.794,DETECTING,0
123.419,1,0.905,0.834,DETECTING,0
123.457,1,0.926,0.872,DETECTING,0
123.498,1,0.906,0.912,DETECTING,0
123.537,1,0.923,0.952,DETECTING,0
123.577,1,0.921,0.992,DETECTING,0
123.617,1,0.911,1.032,DETECTING,0
123.656,1,0.929,1.071,DETECTING,0
123.697,1,0.926,1.112,DETECTING,0
123.742,1,0.926,1.157,DETECTING,0
123.783,1,0.928,1.198,DETECTING,0
123.823,1,0.923,1.238,DETECTING,0
123.863,1,0.929,1.277,DETECTING,0
123.902,1,0.925,1.316,DETECTING,0
123.942,1,0.928,1.356,DETECTING,0
123.982,1,0.884,1.396,DETECTING,0
124.022,1,0.855,1.436,DETECTING,0
124.062,1,0.905,1.476,DETECTING,0
124.101,1,0.910,1.515,DETECTING,0
124.139,1,0.652,1.554,DETECTING,0
124.179,1,0.793,1.594,DETECTING,0
124.218,1,0.809,1.632,DETECTING,0
124.257,1,0.693,1.672,DETECTING,0
124.298,1,0.663,1.713,DETECTING,0
124.338,1,0.608,1.752,DETECTING,0
124.376,1,0.573,1.791,DETECTING,0
124.415,1,0.466,1.830,DETECTING,0
124.455,0,0.000,0.000,COOLDOWN,0
124.494,1,0.621,0.000,DETECTING,0
124.533,1,0.704,0.040,DETECTING,0
124.573,1,0.604,0.079,DETECTING,0
124.612,1,0.472,0.118,DETECTING,0
124.651,1,0.714,0.157,DETECTING,0
124.690,1,0.527,0.197,DETECTING,0
124.729,1,0.642,0.236,DETECTING,0
124.768,1,0.572,0.274,DETECTING,0
124.807,1,0.760,0.314,DETECTING,0
124.844,0,0.000,0.000,COOLDOWN,0
124.883,1,0.601,0.000,DETECTING,0
124.927,1,0.458,0.043,DETECTING,0
124.963,0,0.000,0.000,COOLDOWN,0
125.002,1,0.569,0.000,DETECTING,0
125.042,1,0.575,0.039,DETECTING,0
125.082,1,0.520,0.079,DETECTING,0
125.121,1,0.500,0.118,DETECTING,0
125.160,1,0.687,0.158,DETECTING,0
125.199,1,0.699,0.197,DETECTING,0
125.238,1,0.678,0.236,DETECTING,0
125.277,1,0.621,0.275,DETECTING,0
125.317,1,0.741,0.315,DETECTING,0
125.357,1,0.659,0.355,DETECTING,0
125.397,1,0.528,0.395,DETECTING,0
125.437,1,0.489,0.435,DETECTING,0
125.478,1,0.522,0.475,DETECTING,0
125.517,1,0.604,0.515,DETECTING,0
125.557,1,0.632,0.555,DETECTING,0
125.597,1,0.662,0.594,DETECTING,0
125.633,0,0.000,0.000,COOLDOWN,0
125.673,1,0.740,0.000,DETECTING,0
125.712,1,0.702,0.039,DETECTING,0
125.752,1,0.688,0.078,DETECTING,0
125.791,1,0.781,0.118,DETECTING,0
125.831,1,0.839,0.157,DETECTING,0
125.870,1,0.759,0.197,DETECTING,0
125.911,1,0.753,0.237,DETECTING,0
125.951,1,0.780,0.278,DETECTING,0
125.992,1,0.863,0.318,DETECTING,0
126.031,1,0.628,0.357,DETECTING,0
